x,y
-2.64658200,0.83740108
-2.64657200,0.84749559
-2.64656200,0.85771699
-2.64655200,0.86806485
-2.64654200,0.87853870
-2.64653200,0.88913809
-2.64652200,0.89986258
-2.64651200,0.91071171
-2.64650200,0.92168503
-2.64649200,0.93278211
-2.64648200,0.94400248
-2.64647200,0.95534572
-2.64646200,0.96681137
-2.64645200,0.97839899
-2.64644200,0.99010814
-2.64643200,1.00193838
-2.64642200,1.01388927
-2.64641200,1.02596037
-2.64640200,1.03815124
-2.64639200,1.05046145
-2.64638200,1.06289057
-2.64637200,1.07543815
-2.64636200,1.08810377
-2.64635200,1.10088700
-2.64634200,1.11378739
-2.64633200,1.12680453
-2.64632200,1.13993798
-2.64631200,1.15318732
-2.64630200,1.16655212
-2.64629200,1.18003196
-2.64628200,1.19362640
-2.64627200,1.20733504
-2.64626200,1.22115743
-2.64625200,1.23509317
-2.64624200,1.24914183
-2.64623200,1.26330299
-2.64622200,1.27757624
-2.64621200,1.29196116
-2.64620200,1.30645732
-2.64619200,1.32106433
-2.64618200,1.33578175
-2.64617200,1.35060919
-2.64616200,1.36554622
-2.64615200,1.38059244
-2.64614200,1.39574743
-2.64613200,1.41101079
-2.64612200,1.42638211
-2.64611200,1.44186098
-2.64610200,1.45744700
-2.64609200,1.47313976
-2.64608200,1.48893886
-2.64607200,1.50484389
-2.64606200,1.52085445
-2.64605200,1.53697014
-2.64604200,1.55319057
-2.64603200,1.56951533
-2.64602200,1.58594402
-2.64601200,1.60247625
-2.64600200,1.61911162
-2.64599200,1.63584974
-2.64598200,1.65269021
-2.64597200,1.66963264
-2.64596200,1.68667664
-2.64595200,1.70382181
-2.64594200,1.72106777
-2.64593200,1.73841413
-2.64592200,1.75586050
-2.64591200,1.77340649
-2.64590200,1.79105172
-2.64589200,1.80879580
-2.64588200,1.82663834
-2.64587200,1.84457897
-2.64586200,1.86261730
-2.64585200,1.88075294
-2.64584200,1.89898553
-2.64583200,1.91731468
-2.64582200,1.93574001
-2.64581200,1.95426114
-2.64580200,1.97287770
-2.64579200,1.99158931
-2.64578200,2.01039560
-2.64577200,2.02929619
-2.64576200,2.04829071
-2.64575200,2.06737880
-2.64574200,2.08656006
-2.64573200,2.10583415
-2.64572200,2.12520069
-2.64571200,2.14465930
-2.64570200,2.16420963
-2.64569200,2.18385130
-2.64568200,2.20358396
-2.64567200,2.22340724
-2.64566200,2.24332076
-2.64565200,2.26332418
-2.64564200,2.28341713
-2.64563200,2.30359925
-2.64562200,2.32387017
-2.64561200,2.34422955
-2.64560200,2.36467702
-2.64559200,2.38521222
-2.64558200,2.40583480
-2.64557200,2.42654441
-2.64556200,2.44734068
-2.64555200,2.46822327
-2.64554200,2.48919182
-2.64553200,2.51024598
-2.64552200,2.53138541
-2.64551200,2.55260974
-2.64550200,2.57391864
-2.64549200,2.59531174
-2.64548200,2.61678872
-2.64547200,2.63834921
-2.64546200,2.65999288
-2.64545200,2.68171937
-2.64544200,2.70352836
-2.64543200,2.72541948
-2.64542200,2.74739241
-2.64541200,2.76944679
-2.64540200,2.79158230
-2.64539200,2.81379859
-2.64538200,2.83609531
-2.64537200,2.85847214
-2.64536200,2.88092874
-2.64535200,2.90346477
-2.64534200,2.92607990
-2.64533200,2.94877379
-2.64532200,2.97154610
-2.64531200,2.99439652
-2.64530200,3.01732469
-2.64529200,3.04033030
-2.64528200,3.06341302
-2.64527200,3.08657251
-2.64526200,3.10980845
-2.64525200,3.13312050
-2.64524200,3.15650835
-2.64523200,3.17997167
-2.64522200,3.20351012
-2.64521200,3.22712340
-2.64520200,3.25081117
-2.64519200,3.27457311
-2.64518200,3.29840890
-2.64517200,3.32231823
-2.64516200,3.34630076
-2.64515200,3.37035618
-2.64514200,3.39448418
-2.64513200,3.41868443
-2.64512200,3.44295663
-2.64511200,3.46730044
-2.64510200,3.49171556
